datadate	tic	conm	chng	mkt_excess	Price_tb	btm	mkvaltq
2009-06	ABC	AMERISOURCEBERGEN CORP	-0.043666	-0.00013	0.00193	0.5203959192461699	5350384000.0
2009-09	ABC	AMERISOURCEBERGEN CORP	0.050211	0.03133	0.00127	0.4083312146917048	6652611660.0
2009-12	ABC	AMERISOURCEBERGEN CORP	0.055893	-0.00721	0.00061	0.3690334438055494	7427134440.0
2010-03	ABC	AMERISOURCEBERGEN CORP	0.031384	0.0341299999999999	0.00157	0.3467723414932337	8166516360.000001
2010-06	ABC	AMERISOURCEBERGEN CORP	0.015026	-0.0297699999999999	0.0017699999999999	0.3267767817427183	8970010000.0
2010-09	ABC	AMERISOURCEBERGEN CORP	0.1239	0.05218	0.00162	0.3478581908011709	8492820000.0
2010-12	ABC	AMERISOURCEBERGEN CORP	0.105997	0.03703	0.00127	0.3153030042320219	9394157240.0
2011-03	ABC	AMERISOURCEBERGEN CORP	0.043524	0.01026	0.00094	0.2889396598874305	10843198200.0
2011-06	ABC	AMERISOURCEBERGEN CORP	0.004367	-0.0287	0.0002	0.2824070481254909	11342068200.0
2011-09	ABC	AMERISOURCEBERGEN CORP	-0.058363	-0.03725	0.00025	0.2856799668312618	10035208390.0
2011-12	ABC	AMERISOURCEBERGEN CORP	0.001077	0.024	0.0002	0.3023175132940259	9607776170.0
2012-03	ABC	AMERISOURCEBERGEN CORP	0.061279	0.02949	0.0007099999999999	0.2881441882505169	10225696440.0
2012-06	ABC	AMERISOURCEBERGEN CORP	0.063801	0.03254	0.00086	0.2943226159290709	9954094050.0
2012-09	ABC	AMERISOURCEBERGEN CORP	0.004932	0.01016	0.00094	0.2522066752063776	9740868270.0
2012-12	ABC	AMERISOURCEBERGEN CORP	0.022738	-0.0258599999999999	0.00046	0.229865129215746	10167853680.0
2013-03	ABC	AMERISOURCEBERGEN CORP	0.090042	0.0442899999999999	0.0007099999999999	0.1968740170584655	11917672200.0
2013-06	ABC	AMERISOURCEBERGEN CORP	0.032359	-0.0064499999999999	0.00035	0.187579948617472	12891537810.0
2013-09	ABC	AMERISOURCEBERGEN CORP	0.073436	0.0094499999999999	0.00015	0.1644256099405866	14108173300.0
2013-12	ABC	AMERISOURCEBERGEN CORP	-0.003119	0.0016699999999999	0.00073	0.1380731711270351	16279788330.0
2014-03	ABC	AMERISOURCEBERGEN CORP	-0.033309	0.01834	0.00046	0.1427175613351405	15033293590.0
2014-06	ABC	AMERISOURCEBERGEN CORP	-0.007106	-0.00576	0.00046	0.1210488336585588	16409534400.0
2014-09	ABC	AMERISOURCEBERGEN CORP	-0.001163	0.00257	0.00023	0.1128238466642828	17344728600.0
2014-12	ABC	AMERISOURCEBERGEN CORP	-0.009775	-0.01411	0.00041	0.0896851306203499	19717270720.0
2015-03	ABC	AMERISOURCEBERGEN CORP	0.10617	-0.02466	0.0003599999999999	0.0767653469457036	24962500350.0
2015-06	ABC	AMERISOURCEBERGEN CORP	-0.055259	-0.0218	0.0002	0.0674455887405189	23361409240.0
2015-09	ABC	AMERISOURCEBERGEN CORP	-0.05048	0.00122	8e-05	0.0308476962010741	20537027980.0
2015-12	ABC	AMERISOURCEBERGEN CORP	0.051399	0.0233199999999999	0.00178	0.0609587782026466	21326198430.0
2016-03	ABC	AMERISOURCEBERGEN CORP	-0.000808	0.04107	0.00213	0.1123066148818199	19510533750.0
2016-06	ABC	AMERISOURCEBERGEN CORP	0.057882	0.0454399999999999	0.00266	0.1097628117939737	17121618599.999998
2016-09	ABC	AMERISOURCEBERGEN CORP	-0.071174	-0.02034	0.0028399999999999	0.1108088325199588	19216915760.0
2016-12	ABC	AMERISOURCEBERGEN CORP	0.002564	0.0239799999999999	0.00502	0.1229868598485531	17209619000.0
2017-03	ABC	AMERISOURCEBERGEN CORP	-0.032893	-0.01472	0.00762	0.1315333699441683	19229280000.0
2017-06	ABC	AMERISOURCEBERGEN CORP	0.030075	-0.03551	0.0102099999999999	0.1237096150201725	20641192680.0
2017-09	ABC	AMERISOURCEBERGEN CORP	0.031153	-0.0219699999999999	0.01057	0.1138603507990893	18131518000.0
2017-12	ABC	AMERISOURCEBERGEN CORP	0.082528	0.0057899999999999	0.01391	0.1435547582012455	20024289240.0
2018-03	ABC	AMERISOURCEBERGEN CORP	-0.094052	-0.03035	0.01715	0.1776140876176228	18937664490.0
2018-06	ABC	AMERISOURCEBERGEN CORP	0.038106	0.0223	0.0192	0.1747845432203627	18742687080.0
2018-09	ABC	AMERISOURCEBERGEN CORP	0.025008	-0.01579	0.02199	0.1528615353175703	19952442540.0
2018-12	ABC	AMERISOURCEBERGEN CORP	-0.163105	-0.11841	0.0238099999999999	0.2007084025185683	15767815200.000002
2019-03	ABC	AMERISOURCEBERGEN CORP	-0.045378	0.0126999999999999	0.024	0.181005200753052	16785876800.0
2019-06	ABC	AMERISOURCEBERGEN CORP	0.095042	0.0270999999999999	0.021	0.1733956794529596	17919691020.0
2019-09	ABC	AMERISOURCEBERGEN CORP	0.000729	-0.0051499999999999	0.01825	0.1745159061082009	17151479580.0
2019-12	ABC	AMERISOURCEBERGEN CORP	-0.032875	0.0047399999999999	0.01556	0.1753010439228939	17507488440.0
2020-03	ABC	AMERISOURCEBERGEN CORP	0.049573	-0.05992	0.00132	0.2033380782925964	18221442000.0
2020-06	ABC	AMERISOURCEBERGEN CORP	0.056954	-0.00877	0.00147	0.1935876678051055	20496920310.0
2020-09	ABC	AMERISOURCEBERGEN CORP	-0.001134	-0.01946	0.00096	-0.0424370591690739	19785442640.0
2020-12	ABC	AMERISOURCEBERGEN CORP	-0.051886	0.0137099999999999	0.00079	-0.0256190565860089	19967480000.0
2013-12	ABEV	AMBEV SA	-0.027778	0.0016699999999999	0.00073	66.81418981294756	278932500.0
2014-03	ABEV	AMBEV SA	0.029167	0.01834	0.00046	1.7456802372741171	10187201310.0
2014-06	ABEV	AMBEV SA	4e-05	-0.00576	0.00046	1.967404520693757	9678528640.0
2014-09	ABEV	AMBEV SA	-0.101509	0.00257	0.00023	1.9786370193085452	9004881050.0
2014-12	ABEV	AMBEV SA	-0.050382	-0.01411	0.00041	1.921442132282154	8551200020.0
2015-03	ABEV	AMBEV SA	-0.102124	-0.02466	0.0003599999999999	1.820398044893308	7954945920.0
2015-06	ABEV	AMBEV SA	0.066621	-0.0218	0.0002	1.752539705965287	8424508699.999999
2015-09	ABEV	AMBEV SA	-0.063423	0.00122	8e-05	1.8792747098542544	6767228300.000001
2015-12	ABEV	AMBEV SA	-0.056965	0.0233199999999999	0.00178	2.063910479874272	6159558820.0
2016-03	ABEV	AMBEV SA	0.193548	0.04107	0.00213	1.9329880743933092	7143592960.0
2016-06	ABEV	AMBEV SA	0.123574	0.0454399999999999	0.00266	1.7659707731167689	8150315520.0
2016-09	ABEV	AMBEV SA	0.026982	-0.02034	0.0028399999999999	1.8048527118819468	8398548480.0
2016-12	ABEV	AMBEV SA	-0.002578	0.0239799999999999	0.00502	2.1177981500213416	6771243520.0
2017-03	ABEV	AMBEV SA	0.012302	-0.01472	0.00762	1.9954957187695328	7713221760.0
2017-06	ABEV	AMBEV SA	-0.029893	-0.03551	0.0102099999999999	2.046385008519343	7351664490.0
2017-09	ABEV	AMBEV SA	0.052716	-0.0219699999999999	0.01057	1.752773894320573	8824675590.0
2017-12	ABEV	AMBEV SA	0.058703	0.0057899999999999	0.01391	1.674697203340452	8650592460.0
2018-03	ABEV	AMBEV SA	0.077037	-0.03035	0.01715	1.6524260273630975	9114326300.0
2018-06	ABEV	AMBEV SA	-0.11138	0.0223	0.0192	2.389483092563022	5804584700.0
2018-09	ABEV	AMBEV SA	-0.017204	-0.01579	0.02199	2.618013767777652	5729363300.0
2018-12	ABEV	AMBEV SA	-0.062876	-0.11841	0.0238099999999999	3.024754801377355	4914464800.0
2019-03	ABEV	AMBEV SA	-0.050773	0.0126999999999999	0.024	2.921615776534138	5319921300.0
2019-06	ABEV	AMBEV SA	0.044743	0.0270999999999999	0.021	2.8475091023398784	5777681970.0
2019-09	ABEV	AMBEV SA	0.017621	-0.0051499999999999	0.01825	2.8142539809695486	5715822420.0
2019-12	ABEV	AMBEV SA	0.13559	0.0047399999999999	0.01556	2.6993552537571586	5765310060.0
2020-03	ABEV	AMBEV SA	-0.283489	-0.05992	0.00132	4.894531240527937	2845539300.0
2020-06	ABEV	AMBEV SA	0.142857	-0.00877	0.00147	4.2203859265452826	3266184240.0
2020-09	ABEV	AMBEV SA	0.004444	-0.01946	0.00096	5.065833440287724	2796051659.9999995
2000-03	ABF	AIRBORNE FREIGHT CORP	0.297297	-0.0727	0.0586	0.764127002030228	1170312000.0
2000-06	ABF	AIRBORNE FREIGHT CORP	-0.06192	-0.0501	0.0586	0.9533952783208302	928202625.0
2000-09	ABF	AIRBORNE FREIGHT CORP	-0.317992	-0.01869	0.06209	1.7938535359889038	489356562.5
2000-12	ABF	AIRBORNE INC	0.026316	-0.02209	0.05869	1.8423638746320128	468341250.0
2001-03	ABF	AIRBORNE INC	-0.014535	-0.09601	0.04291	1.7261763720395389	489217680.0
2001-06	ABF	AIRBORNE INC	0.064279	-0.06962	0.03672	1.4999956505124905	557536950.0
2001-09	ABF	AIRBORNE INC	-0.295723	-0.0442	0.0237	1.8176411840662852	459393200.00000006
2001-12	ABF	AIRBORNE INC	0.104244	-0.01236	0.01736	1.1693813774358748	713382320.0
2002-03	ABF	AIRBORNE INC	-0.032633	0.0147299999999999	0.01807	0.9931194070600275	844364729.9999999
2002-06	ABF	AIRBORNE INC	-0.149313	-0.078	0.017	0.9023396798945637	927494400.0
2002-09	ABF	AIRBORNE INC	-0.118196	-0.09051	0.01551	1.5117616098393143	548821980.0
2002-12	ABF	AIRBORNE INC	0.034892	-0.00989	0.01219	1.1685666389955376	718113090.0
2003-03	ABF	AIRBORNE INC	0.396724	-0.01717	0.01127	0.8761682144620629	950065280.0
2003-06	ABF	AIRBORNE INC	0.018022	-0.00187	0.00917	0.8233517459417039	1019627400.0
2000-03	AD	ADVO INC	-0.099099	-0.0727	0.0586	-0.1188736785696887	513175000.0
2000-06	AD	ADVO INC	0.307393	-0.0501	0.0586	-0.0515351886331618	847518000.0
2000-09	AD	ADVO INC	-0.193893	-0.01869	0.06209	-0.0604570488520134	671088000.0
2000-12	AD	ADVO INC	0.095679	-0.02209	0.05869	-0.029329696695749	893224375.0
2001-03	AD	ADVO INC	-0.086634	-0.09601	0.04291	-0.0204912965126297	748073700.0
2001-06	AD	ADVO INC	0.050446	-0.06962	0.03672	-0.0043977127287368	694679300.0
2001-09	AD	ADVO INC	-0.065934	-0.0442	0.0237	0.0042719463467842	691254000.0
2001-12	AD	ADVO INC	0.125654	-0.01236	0.01736	0.0109960315424755	857764000.0
2002-03	AD	ADVO INC	0.111579	0.0147299999999999	0.01807	0.0241421596500406	844166400.0
2002-06	AD	ADVO INC	-0.101275	-0.078	0.017	0.0377526009132427	764026830.0
2002-09	AD	ADVO INC	-0.087381	-0.09051	0.01551	0.0572727347967334	634333250.0
2002-12	AD	ADVO INC	0.00459	-0.00989	0.01219	0.0747136527065496	651018900.0
2003-03	AD	ADVO INC	0.053976	-0.01717	0.01127	0.0917492745601234	655809000.0
2003-06	AD	ADVO INC	0.084249	-0.00187	0.00917	0.0847223088965885	884536800.0
2003-09	AD	ADVO INC	-0.057078	-0.0142799999999999	0.0094799999999999	0.108187809000122	830768280.0
2003-12	AD	ADVO INC	0.051308	0.00733	0.00927	0.104425584232596	956642960.0
2004-03	AD	ADVO INC	-0.002786	-0.0152299999999999	0.00943	0.1132121783718045	972077400.0
2004-06	AD	ADVO INC	0.028107	-0.0105	0.0128	0.1228574914381366	998661120.0
2004-09	AD	ADVO INC	0.045977	-0.04655	0.01695	0.1500554138822265	945124180.0
2004-12	AD	ADVO INC	0.01538	0.0155299999999999	0.02207	0.134895737730946	1103474450.0
2005-03	AD	ADVO INC	0.021271	-0.03776	0.02766	0.1410879311173642	1167016900.0
2005-06	AD	ADVO INC	0.025765	-0.05211	0.03101	0.1765192354384408	995885800.0
2005-09	AD	ADVO INC	-0.044288	-0.0237799999999999	0.0351799999999999	0.1885840900717146	982506000.0
2005-12	AD	ADVO INC	0.032613	-0.04407	0.03997	0.2204583777375614	886570980.0
2006-03	AD	ADVO INC	-0.004666	-0.04402	0.0459199999999999	0.2003134423107443	1008160000.0
2006-06	AD	ADVO INC	-0.07724	-0.03786	0.04976	0.2666057271418438	781146010.0
2006-09	AD	ADVO INC	-0.021336	-0.05201	0.04851	0.2293683309443821	889316320.0
2006-12	AD	ADVO INC	0.099123	-0.0279	0.0498	0.2005817145168591	1038310000.0
2000-03	ADM	ARCHER DANIELS MIDLAND CO	0.024845	-0.0727	0.0586	0.96885626444644	6261409687.5
2000-06	ADM	ARCHER DANIELS MIDLAND CO	-0.17801	-0.0501	0.0586	1.0341069738158153	5908714625.0
2000-09	ADM	ARCHER DANIELS MIDLAND CO	-0.021277	-0.01869	0.06209	1.1270204459982356	5453328750.0
2000-12	ADM	ARCHER DANIELS MIDLAND CO	0.176471	-0.02209	0.05869	0.6737537233565828	9484050000.0
2001-03	ADM	ARCHER DANIELS MIDLAND CO	-0.126246	-0.09601	0.04291	0.7473109596105738	8331866300.0
2001-06	ADM	ARCHER DANIELS MIDLAND CO	-0.033333	-0.06962	0.03672	0.7676271822004387	8248383000.0
2001-09	ADM	ARCHER DANIELS MIDLAND CO	-0.062547	-0.0442	0.0237	0.7703124255842368	8355504580.0
2001-12	ADM	ARCHER DANIELS MIDLAND CO	-0.067576	-0.01236	0.01736	0.6808199518810095	9489683700.0
2002-03	ADM	ARCHER DANIELS MIDLAND CO	0.005776	0.0147299999999999	0.01807	0.712230428881165	9118174030.0
2002-06	ADM	ARCHER DANIELS MIDLAND CO	-0.120962	-0.078	0.017	0.810594308431702	8333171019.999999
2002-09	ADM	ARCHER DANIELS MIDLAND CO	0.026251	-0.09051	0.01551	0.8286820411369101	8127134010.0
2002-12	ADM	ARCHER DANIELS MIDLAND CO	-0.069767	-0.00989	0.01219	0.8533362930770776	8019613200.0
2003-03	ADM	ARCHER DANIELS MIDLAND CO	-0.009174	-0.01717	0.01127	0.9833593287352193	6972771600.0
2003-06	ADM	ARCHER DANIELS MIDLAND CO	0.075188	-0.00187	0.00917	0.8507654670222222	8309219489.999999
2003-09	ADM	ARCHER DANIELS MIDLAND CO	-0.054795	-0.0142799999999999	0.0094799999999999	0.8501374691618789	8489249400.0
2003-12	ADM	ARCHER DANIELS MIDLAND CO	0.06508	0.00733	0.00927	0.7727806634573874	9842226080.0
2004-03	ADM	ARCHER DANIELS MIDLAND CO	-0.019186	-0.0152299999999999	0.00943	0.7211701650040602	10931641910.0
2004-06	ADM	ARCHER DANIELS MIDLAND CO	0.00902	-0.0105	0.0128	0.7079911380978863	10873322540.0
2004-09	ADM	ARCHER DANIELS MIDLAND CO	0.063244	-0.04655	0.01695	0.7117424287942742	11104376640.0
2004-12	ADM	ARCHER DANIELS MIDLAND CO	0.052358	0.0155299999999999	0.02207	0.5842068144235809	14602185030.0
2005-03	ADM	ARCHER DANIELS MIDLAND CO	0.019917	-0.03776	0.02766	0.5317199193448969	16123349319.999998
2005-06	ADM	ARCHER DANIELS MIDLAND CO	0.077078	-0.05211	0.03101	0.6008580921840194	14035713440.0
2005-09	ADM	ARCHER DANIELS MIDLAND CO	0.095513	-0.0237799999999999	0.0351799999999999	0.5370022206095609	16108775100.0
2005-12	ADM	ARCHER DANIELS MIDLAND CO	0.046245	-0.04407	0.03997	0.5503902073138193	16107394140.0
2006-03	ADM	ARCHER DANIELS MIDLAND CO	0.060845	-0.04402	0.0459199999999999	0.4170495145818992	22000740150.0
2006-06	ADM	ARCHER DANIELS MIDLAND CO	-0.006976	-0.03786	0.04976	0.3630134060703389	27015200640.0
2006-09	ADM	ARCHER DANIELS MIDLAND CO	-0.079912	-0.05201	0.04851	0.4131962335724787	24902804440.0
2006-12	ADM	ARCHER DANIELS MIDLAND CO	-0.089459	-0.0279	0.0498	0.5128486284238266	21005582160.0
2007-03	ADM	ARCHER DANIELS MIDLAND CO	0.068413	-0.03507	0.05017	0.4458058948925243	23955154300.0
2007-06	ADM	ARCHER DANIELS MIDLAND CO	-0.055651	-0.0695699999999999	0.0475699999999999	0.5210011037736872	21598802610.000004
2007-09	ADM	ARCHER DANIELS MIDLAND CO	-0.018398	0.0048799999999999	0.03672	0.5551956595460928	21289791800.0
2007-12	ADM	ARCHER DANIELS MIDLAND CO	0.277304	-0.04378	0.03128	0.4128722176335973	29849429130.0
2008-03	ADM	ARCHER DANIELS MIDLAND CO	-0.087361	0.01706	0.01264	0.4968736950223206	26489629320.0
2008-06	ADM	ARCHER DANIELS MIDLAND CO	-0.149874	-0.0847999999999999	0.0172	0.6207321429793682	21732401250.0
2008-09	ADM	ARCHER DANIELS MIDLAND CO	-0.139434	-0.0252	0.0091	0.96241896392143	14061443620.0
2008-12	ADM	ARCHER DANIELS MIDLAND CO	0.052958	-0.00897	0.00127	0.740468559095584	18493695420.0
2009-03	ADM	ARCHER DANIELS MIDLAND CO	0.042011	0.03342	0.00208	0.7529846754636049	17831704200.0
2009-06	ADM	ARCHER DANIELS MIDLAND CO	-0.027253	-0.00013	0.00193	0.785449374328682	17186340000.0
2009-09	ADM	ARCHER DANIELS MIDLAND CO	0.013528	0.03133	0.00127	0.7589581447601031	18766515780.0
2009-12	ADM	ARCHER DANIELS MIDLAND CO	0.016228	-0.00721	0.00061	0.735628965340938	20112041120.0
2010-03	ADM	ARCHER DANIELS MIDLAND CO	-0.015668	0.0341299999999999	0.00157	0.7952773417052791	18570879900.0
2010-06	ADM	ARCHER DANIELS MIDLAND CO	0.021765	-0.0297699999999999	0.0017699999999999	0.8811970403198689	16603551000.0
2010-09	ADM	ARCHER DANIELS MIDLAND CO	0.036027	0.05218	0.00162	0.7547533243050571	20386793280.0
2010-12	ADM	ARCHER DANIELS MIDLAND CO	0.037599	0.03703	0.00127	0.8275617423501574	19217901440.0
2011-03	ADM	ARCHER DANIELS MIDLAND CO	-0.031469	0.01026	0.00094	0.7268212956663095	22949245020.0
2011-06	ADM	ARCHER DANIELS MIDLAND CO	-0.069732	-0.0287	0.0002	0.9795091347884228	19232082000.0
2011-09	ADM	ARCHER DANIELS MIDLAND CO	-0.128862	-0.03725	0.00025	1.110885331467041	16571467350.0
2011-12	ADM	ARCHER DANIELS MIDLAND CO	-0.050465	0.024	0.0002	0.9508352185763668	19104256600.0
2012-03	ADM	ARCHER DANIELS MIDLAND CO	0.014744	0.02949	0.0007099999999999	0.8856033622103745	20947300780.0
2012-06	ADM	ARCHER DANIELS MIDLAND CO	-0.074028	0.03254	0.00086	0.9346343649458004	19439687520.0
2013-03	ADM	ARCHER DANIELS MIDLAND CO	0.058694	0.0442899999999999	0.0007099999999999	0.8539648867855513	22221054160.0
2013-06	ADM	ARCHER DANIELS MIDLAND CO	0.052125	-0.0064499999999999	0.00035	0.8507807868058127	22347707300.0
2013-09	ADM	ARCHER DANIELS MIDLAND CO	0.046294	0.0094499999999999	0.00015	0.8057020201531547	24284412240.000004
2013-12	ADM	ARCHER DANIELS MIDLAND CO	0.078261	0.0016699999999999	0.00073	0.7071743987879492	28555898000.0
2014-03	ADM	ARCHER DANIELS MIDLAND CO	0.068719	0.01834	0.00046	0.7050777415934402	28453599960.0
2014-06	ADM	ARCHER DANIELS MIDLAND CO	-0.018469	-0.00576	0.00046	0.700381814987545	28868539370.0
2014-09	ADM	ARCHER DANIELS MIDLAND CO	0.02487	0.00257	0.00023	0.6142279872835374	32986123100.0
2014-12	ADM	ARCHER DANIELS MIDLAND CO	-0.012908	-0.01411	0.00041	0.5863731538953817	33476976000.0
2015-03	ADM	ARCHER DANIELS MIDLAND CO	-0.010025	-0.02466	0.0003599999999999	0.629185321842062	29811566400.0
2015-06	ADM	ARCHER DANIELS MIDLAND CO	-0.087606	-0.0218	0.0002	0.6203704118405698	29914386060.0
2015-09	ADM	ARCHER DANIELS MIDLAND CO	-0.078684	0.00122	8e-05	0.7083043274430922	25240563000.0
2015-12	ADM	ARCHER DANIELS MIDLAND CO	0.005207	0.0233199999999999	0.00178	0.8184691896856234	21888423200.0
2016-03	ADM	ARCHER DANIELS MIDLAND CO	0.038616	0.04107	0.00213	0.8402128388156924	21319598050.0
2016-06	ADM	ARCHER DANIELS MIDLAND CO	0.002806	0.0454399999999999	0.00266	0.7027389603738865	25201391980.0
2016-09	ADM	ARCHER DANIELS MIDLAND CO	-0.036335	-0.02034	0.0028399999999999	0.717239593157686	24532945710.0
2016-12	ADM	ARCHER DANIELS MIDLAND CO	0.05598	0.0239799999999999	0.00502	0.6550041287531394	26267010000.0
2017-03	ADM	ARCHER DANIELS MIDLAND CO	-0.0198	-0.01472	0.00762	0.6529402018705518	26273462640.0
2017-06	ADM	ARCHER DANIELS MIDLAND CO	-0.00481	-0.03551	0.0102099999999999	0.7417529363740964	23518612660.0
2017-09	ADM	ARCHER DANIELS MIDLAND CO	0.0288	-0.0219699999999999	0.01057	0.7372578051393958	23912937750.0
2017-12	ADM	ARCHER DANIELS MIDLAND CO	0.005015	0.0057899999999999	0.01391	0.8197730600488785	22414740000.0
2018-03	ADM	ARCHER DANIELS MIDLAND CO	0.044557	-0.03035	0.01715	0.7754662221355644	24238322010.0
2018-06	ADM	ARCHER DANIELS MIDLAND CO	0.048262	0.0223	0.0192	0.7322240261731837	25627402720.0
2018-09	ADM	ARCHER DANIELS MIDLAND CO	-0.002579	-0.01579	0.02199	0.6768787483553381	28137978990.0
2018-12	ADM	ARCHER DANIELS MIDLAND CO	-0.109735	-0.11841	0.0238099999999999	0.829139937239823	22969584680.0
2019-03	ADM	ARCHER DANIELS MIDLAND CO	0.014824	0.0126999999999999	0.024	0.7848332144949965	24156724830.0
2019-06	ADM	ARCHER DANIELS MIDLAND CO	0.064718	0.0270999999999999	0.021	0.8327378330229381	22854732000.0
2019-09	ADM	ARCHER DANIELS MIDLAND CO	0.079369	-0.0051499999999999	0.01825	0.8283306868062972	22874922180.0
2019-12	ADM	ARCHER DANIELS MIDLAND CO	0.079665	0.0047399999999999	0.01556	0.7473336943308145	25802396100.0
2020-03	ADM	ARCHER DANIELS MIDLAND CO	-0.065604	-0.05992	0.00132	0.9716579392837232	19602577440.0
2020-06	ADM	ARCHER DANIELS MIDLAND CO	0.015009	-0.00877	0.00147	0.875101329659532	22164290400.0
2020-09	ADM	ARCHER DANIELS MIDLAND CO	0.038651	-0.01946	0.00096	0.7520121620117272	25832029030.0
2020-12	ADM	ARCHER DANIELS MIDLAND CO	0.012859	0.0137099999999999	0.00079	0.7164970215035913	28047569490.0
2016-12	ADNT	ADIENT PLC	0.0941	0.0239799999999999	0.00502	0.6246835592468907	5489179200.0
2017-03	ADNT	ADIENT PLC	0.086623	-0.01472	0.00762	0.5623951965204972	6808379630.0
2017-06	ADNT	ADIENT PLC	-0.045965	-0.03551	0.0102099999999999	0.6686353690486723	6125909860.0
2017-09	ADNT	ADIENT PLC	0.188313	-0.0219699999999999	0.01057	0.5870684055905621	7869611029.999999
2017-12	ADNT	ADIENT PLC	0.005622	0.0057899999999999	0.01391	0.6084370483296643	7326970000.0
2018-03	ADNT	ADIENT PLC	-0.037061	-0.03035	0.01715	0.7948066152690288	5578715520.0
2018-06	ADNT	ADIENT PLC	-0.076071	0.0223	0.0192	0.9131544602946876	4592870300.0
2018-09	ADNT	ADIENT PLC	-0.091938	-0.01579	0.02199	0.7530404990956266	3670453320.0
2018-12	ADNT	ADIENT PLC	-0.36402	-0.11841	0.0238099999999999	1.9558580957339	1406543760.0
2019-03	ADNT	ADIENT PLC	-0.333333	0.0126999999999999	0.024	2.2001778753478707	1212174720.0
2019-06	ADNT	ADIENT PLC	0.406141	0.0270999999999999	0.021	1.024659835401393	2270021640.0
2019-09	ADNT	ADIENT PLC	0.138324	-0.0051499999999999	0.01825	1.0420843145208458	2149538160.0
