datadate	tic	conm	prccd	cshoc	mkvaltq
2008-12-31	ABC	AMERISOURCEBERGEN CORP	35.66	156000000.0	5562959999.999999
2009-03-31	ABC	AMERISOURCEBERGEN CORP	32.66	152278000.0	4973399479.999999
2009-06-30	ABC	AMERISOURCEBERGEN CORP	17.74	301600000.0	5350384000.0
2009-09-30	ABC	AMERISOURCEBERGEN CORP	22.38	297257000.0	6652611660.0
2009-12-31	ABC	AMERISOURCEBERGEN CORP	26.07	284892000.0	7427134440.0
2010-03-31	ABC	AMERISOURCEBERGEN CORP	28.92	282383000.0	8166516360.000001
2010-06-30	ABC	AMERISOURCEBERGEN CORP	31.75	282520000.0	8970010000.0
2010-09-30	ABC	AMERISOURCEBERGEN CORP	30.66	277000000.0	8492820000.0
2010-12-31	ABC	AMERISOURCEBERGEN CORP	34.12	275327000.0	9394157240.0
2011-03-31	ABC	AMERISOURCEBERGEN CORP	39.56	274095000.0	10843198200.0
2011-06-30	ABC	AMERISOURCEBERGEN CORP	41.4	273963000.0	11342068200.0
2011-09-30	ABC	AMERISOURCEBERGEN CORP	37.27	269257000.0	10035208390.0
2011-12-30	ABC	AMERISOURCEBERGEN CORP	37.19	258343000.0	9607776170.0
2012-03-30	ABC	AMERISOURCEBERGEN CORP	39.66	257834000.0	10225696440.0
2012-06-29	ABC	AMERISOURCEBERGEN CORP	39.35	252963000.0	9954094050.0
2012-09-28	ABC	AMERISOURCEBERGEN CORP	38.71	251637000.0	9740868270.0
2012-12-31	ABC	AMERISOURCEBERGEN CORP	43.18	235476000.0	10167853680.0
2013-03-28	ABC	AMERISOURCEBERGEN CORP	51.45	231636000.0	11917672200.0
2013-06-28	ABC	AMERISOURCEBERGEN CORP	55.83	230907000.0	12891537810.0
2013-09-30	ABC	AMERISOURCEBERGEN CORP	61.1	230903000.0	14108173300.0
2013-12-31	ABC	AMERISOURCEBERGEN CORP	70.31	231543000.0	16279788330.0
2014-03-31	ABC	AMERISOURCEBERGEN CORP	65.59	229201000.0	15033293590.0
2014-06-30	ABC	AMERISOURCEBERGEN CORP	72.66	225840000.0	16409534400.0
2014-09-30	ABC	AMERISOURCEBERGEN CORP	77.3	224382000.0	17344728600.0
2014-12-31	ABC	AMERISOURCEBERGEN CORP	90.16	218692000.0	19717270720.0
2015-03-31	ABC	AMERISOURCEBERGEN CORP	113.67	219605000.0	24962500350.0
2015-06-30	ABC	AMERISOURCEBERGEN CORP	106.34	219686000.0	23361409240.0
2015-09-30	ABC	AMERISOURCEBERGEN CORP	94.99	216202000.0	20537027980.0
2015-12-31	ABC	AMERISOURCEBERGEN CORP	103.71	205633000.0	21326198430.0
2016-03-31	ABC	AMERISOURCEBERGEN CORP	86.55	225425000.0	19510533750.0
2016-06-30	ABC	AMERISOURCEBERGEN CORP	79.32	215855000.0	17121618599.999998
2016-09-30	ABC	AMERISOURCEBERGEN CORP	80.78	237892000.0	19216915760.0
2016-12-30	ABC	AMERISOURCEBERGEN CORP	78.19	220100000.0	17209619000.0
2017-03-31	ABC	AMERISOURCEBERGEN CORP	88.5	217280000.0	19229280000.0
2017-06-30	ABC	AMERISOURCEBERGEN CORP	94.53	218356000.0	20641192680.0
2017-09-29	ABC	AMERISOURCEBERGEN CORP	82.75	219112000.0	18131518000.0
2017-12-29	ABC	AMERISOURCEBERGEN CORP	91.82	218082000.0	20024289240.0
2018-03-29	ABC	AMERISOURCEBERGEN CORP	86.21	219669000.0	18937664490.0
2018-06-29	ABC	AMERISOURCEBERGEN CORP	85.27	219804000.0	18742687080.0
2018-09-28	ABC	AMERISOURCEBERGEN CORP	92.22	216357000.0	19952442540.0
2018-12-31	ABC	AMERISOURCEBERGEN CORP	74.4	211933000.0	15767815200.000002
2019-03-29	ABC	AMERISOURCEBERGEN CORP	79.52	211090000.0	16785876800.0
2019-06-28	ABC	AMERISOURCEBERGEN CORP	85.26	210177000.0	17919691020.0
2019-09-30	ABC	AMERISOURCEBERGEN CORP	82.33	208326000.0	17151479580.0
2019-12-31	ABC	AMERISOURCEBERGEN CORP	85.02	205922000.0	17507488440.0
2020-03-31	ABC	AMERISOURCEBERGEN CORP	88.5	205892000.0	18221442000.0
2020-06-30	ABC	AMERISOURCEBERGEN CORP	100.77	203403000.0	20496920310.0
2020-09-30	ABC	AMERISOURCEBERGEN CORP	96.92	204142000.0	19785442640.0
2020-12-31	ABC	AMERISOURCEBERGEN CORP	97.76	204250000.0	19967480000.0
2005-09-30	ABD	A C C O BRANDS CORP	28.22	52437000.0	1479772140.0
2005-12-30	ABD	A C C O BRANDS CORP	24.5	52437000.0	1284706500.0
2006-03-31	ABD	A C C O BRANDS CORP	22.2	53073000.0	1178220600.0
2006-06-30	ABD	A C C O BRANDS CORP	21.9	53169000.0	1164401100.0
2006-09-29	ABD	A C C O BRANDS CORP	22.26	53544000.0	1191889440.0
2006-12-29	ABD	A C C O BRANDS CORP	26.47	53624000.0	1419427280.0
2007-03-30	ABD	A C C O BRANDS CORP	24.09	53837000.0	1296933330.0
2007-06-29	ABD	A C C O BRANDS CORP	23.05	53964000.0	1243870200.0
2007-09-28	ABD	A C C O BRANDS CORP	22.44	54075000.0	1213443000.0
2007-12-31	ABD	A C C O BRANDS CORP	16.04	54086000.0	867539440.0
2008-03-31	ABD	A C C O BRANDS CORP	13.57	54122000.0	734435540.0
2008-06-30	ABD	A C C O BRANDS CORP	11.23	54162000.0	608239260.0
2008-09-30	ABD	A C C O BRANDS CORP	7.54	54171000.0	408449340.0
2008-12-31	ABD	A C C O BRANDS CORP	3.45	54182000.0	186927900.0
2009-03-31	ABD	A C C O BRANDS CORP	0.98	54398000.0	53310040.0
2009-06-30	ABD	A C C O BRANDS CORP	2.82	54549000.0	153828180.0
2009-09-30	ABD	A C C O BRANDS CORP	7.22	54562000.0	393937640.0
2009-12-31	ABD	A C C O BRANDS CORP	7.28	54570000.0	397269600.0
2010-03-31	ABD	A C C O BRANDS CORP	7.66	54572000.0	418021520.0
2010-06-30	ABD	A C C O BRANDS CORP	4.99	54799000.0	273447010.0
2010-09-30	ABD	A C C O BRANDS CORP	5.75	54874000.0	315525500.0
2010-12-31	ABD	A C C O BRANDS CORP	8.52	54900000.0	467748000.0
2011-03-31	ABD	A C C O BRANDS CORP	9.54	54923000.0	523965419.99999994
2011-06-30	ABD	A C C O BRANDS CORP	7.85	55152000.0	432943200.0
2011-09-30	ABD	A C C O BRANDS CORP	4.77	55181000.0	263213369.99999997
2011-12-30	ABD	A C C O BRANDS CORP	9.65	55652000.0	537041800.0
2012-03-30	ABD	A C C O BRANDS CORP	12.41	55555000.0	689437550.0
2013-12-31	ABEV	AMBEV SA	7.35	37950000.0	278932500.0
2014-03-31	ABEV	AMBEV SA	7.41	1374791000.0	10187201310.0
2014-06-30	ABEV	AMBEV SA	7.04	1374791000.0	9678528640.0
2014-09-30	ABEV	AMBEV SA	6.55	1374791000.0	9004881050.0
2014-12-31	ABEV	AMBEV SA	6.22	1374791000.0	8551200020.0
2015-03-31	ABEV	AMBEV SA	5.76	1381067000.0	7954945920.0
2015-06-30	ABEV	AMBEV SA	6.1	1381067000.0	8424508699.999999
2015-09-30	ABEV	AMBEV SA	4.9	1381067000.0	6767228300.000001
2015-12-31	ABEV	AMBEV SA	4.46	1381067000.0	6159558820.0
2016-03-31	ABEV	AMBEV SA	5.18	1379072000.0	7143592960.0
2016-06-30	ABEV	AMBEV SA	5.91	1379072000.0	8150315520.0
2016-09-30	ABEV	AMBEV SA	6.09	1379072000.0	8398548480.0
2016-12-30	ABEV	AMBEV SA	4.91	1379072000.0	6771243520.0
2017-03-31	ABEV	AMBEV SA	5.76	1339101000.0	7713221760.0
2017-06-30	ABEV	AMBEV SA	5.49	1339101000.0	7351664490.0
2017-09-29	ABEV	AMBEV SA	6.59	1339101000.0	8824675590.0
2017-12-29	ABEV	AMBEV SA	6.46	1339101000.0	8650592460.0
2018-03-29	ABEV	AMBEV SA	7.27	1253690000.0	9114326300.0
2018-06-29	ABEV	AMBEV SA	4.63	1253690000.0	5804584700.0
2018-09-28	ABEV	AMBEV SA	4.57	1253690000.0	5729363300.0
2018-12-31	ABEV	AMBEV SA	3.92	1253690000.0	4914464800.0
2019-03-29	ABEV	AMBEV SA	4.3	1237191000.0	5319921300.0
2019-06-28	ABEV	AMBEV SA	4.67	1237191000.0	5777681970.0
2019-09-30	ABEV	AMBEV SA	4.62	1237191000.0	5715822420.0
2019-12-31	ABEV	AMBEV SA	4.66	1237191000.0	5765310060.0
2020-03-31	ABEV	AMBEV SA	2.3	1237191000.0	2845539300.0
2020-06-30	ABEV	AMBEV SA	2.64	1237191000.0	3266184240.0
2020-09-30	ABEV	AMBEV SA	2.26	1237191000.0	2796051659.9999995
2020-12-31	ABEV	AMBEV SA	3.06	1237191000.0	3785804460.0
2000-03-31	ABF	AIRBORNE FREIGHT CORP	24.0	48763000.0	1170312000.0
2000-06-30	ABF	AIRBORNE FREIGHT CORP	18.9375	49014000.0	928202625.0
2000-09-29	ABF	AIRBORNE FREIGHT CORP	10.1875	48035000.0	489356562.5
2000-12-29	ABF	AIRBORNE INC	9.75	48035000.0	468341250.0
2001-03-30	ABF	AIRBORNE INC	10.17	48104000.0	489217680.0
2001-06-29	ABF	AIRBORNE INC	11.59	48105000.0	557536950.0
2001-09-28	ABF	AIRBORNE INC	9.55	48104000.0	459393200.00000006
2001-12-31	ABF	AIRBORNE INC	14.83	48104000.0	713382320.0
2002-03-28	ABF	AIRBORNE INC	17.49	48277000.0	844364729.9999999
2002-06-28	ABF	AIRBORNE INC	19.2	48307000.0	927494400.0
2002-09-30	ABF	AIRBORNE INC	11.34	48397000.0	548821980.0
2002-12-31	ABF	AIRBORNE INC	14.83	48423000.0	718113090.0
2003-03-31	ABF	AIRBORNE INC	19.61	48448000.0	950065280.0
2003-06-30	ABF	AIRBORNE INC	20.9	48786000.0	1019627399.9999999
2000-03-31	ABI	ABLEST INC	6.5	2882000.0	18733000.0
2000-06-30	ABI	ABLEST INC	5.25	2893000.0	15188250.0
2000-09-29	ABI	ABLEST INC	4.5	2882000.0	12969000.0
2000-12-29	ABI	APPLERA CORP	94.0625	209337000.0	19690761562.5
2001-03-30	ABI	APPLERA CORP	27.75	210880000.0	5851920000.0
2001-06-29	ABI	APPLERA CORP	26.75	211141000.0	5648021750.0
2001-09-28	ABI	APPLERA CORP	24.4	211141000.0	5151840400.0
2001-12-31	ABI	APPLERA CORP	39.27	211931000.0	8322530370.000001
2002-03-28	ABI	APPLERA CORP	22.35	212574000.0	4751028900.0
2002-06-28	ABI	APPLERA CORP	19.49	212383000.0	4139344669.9999995
2002-09-30	ABI	APPLERA CORP	18.3	208793000.0	3820911900.0
2002-12-31	ABI	APPLERA CORP	17.54	209214000.0	3669613560.0
2003-03-31	ABI	APPLERA CORP	15.83	209453000.0	3315640990.0
2003-06-30	ABI	APPLERA CORP	19.03	208966000.0	3976622980.0
2003-09-30	ABI	APPLERA CORP	22.31	207969000.0	4639788390.0
2003-12-31	ABI	APPLERA CORP	20.71	208027000.0	4308239170.0
2004-03-31	ABI	APPLERA CORP	19.78	206342000.0	4081444760.0
2004-06-30	ABI	APPLERA CORP	21.75	201835000.0	4389911250.0
2004-09-30	ABI	APPLERA CORP	18.87	195710000.0	3693047700.0
2004-12-31	ABI	APPLERA CORP	20.91	196025000.0	4098882750.0
2005-03-31	ABI	APPLERA CORP	19.74	196331000.0	3875573939.9999995
2005-06-30	ABI	APPLERA CORP	19.67	197339000.0	3881658130.0000005
2005-09-30	ABI	APPLERA CORP	23.24	194157000.0	4512208680.0
2005-12-30	ABI	APPLERA CORP	26.56	187915000.0	4991022400.0
2006-03-31	ABI	APPLERA CORP	27.14	183272000.0	4974002080.0
2006-06-30	ABI	APPLERA CORP	32.35	185051000.0	5986399850.0
2006-09-29	ABI	APPLERA CORP	33.11	182636000.0	6047077960.0
2006-12-29	ABI	APPLERA CORP	36.69	183205000.0	6721791450.0
2007-03-30	ABI	APPLERA CORP	29.57	183552000.0	5427632640.0
2007-06-29	ABI	APPLERA CORP	30.54	184950000.0	5648373000.0
2007-09-28	ABI	APPLERA CORP	34.64	183390000.0	6352629600.0
2007-12-31	ABI	APPLERA CORP	33.92	168184000.0	5704801280.0
2008-03-31	ABI	APPLERA CORP	32.86	167377000.0	5500008220.0
2008-06-30	ABI	APPLERA CORP	33.48	168891000.0	5654470679.999999
2008-09-30	ABI	APPLIED BIOSYSTEMS INC DEL	34.25	169506000.0	5805580500.0
2000-03-31	ABMD	ABIOMED INC	40.5	10228000.0	414234000.0
2000-06-30	ABMD	ABIOMED INC	30.75	10239000.0	314849250.0
2000-09-29	ABMD	ABIOMED INC	68.125	10248000.0	698145000.0
2000-12-29	ABMD	ABIOMED INC	24.25	20672000.0	501296000.0
2001-03-30	ABMD	ABIOMED INC	15.75	20771000.0	327143250.0
2001-06-29	ABMD	ABIOMED INC	23.58	20814000.0	490794119.99999994
2001-09-28	ABMD	ABIOMED INC	17.47	20898000.0	365088060.0
2001-12-31	ABMD	ABIOMED INC	15.82	20907000.0	330748740.0
2002-03-28	ABMD	ABIOMED INC	11.1	20951000.0	232556100.0
2002-06-28	ABMD	ABIOMED INC	8.479	20957000.0	177694402.99999997
2002-09-30	ABMD	ABIOMED INC	3.3	21016000.0	69352800.0
2002-12-31	ABMD	ABIOMED INC	3.64	21016000.0	76498240.0
2003-03-31	ABMD	ABIOMED INC	3.9	21057000.0	82122300.0
2003-06-30	ABMD	ABIOMED INC	5.28	21057000.0	111180960.0
2003-09-30	ABMD	ABIOMED INC	8.61	21130000.0	181929300.0
2003-12-31	ABMD	ABIOMED INC	6.99	21213000.0	148278870.0
2004-03-31	ABMD	ABIOMED INC	8.19	21387000.0	175159530.0
2004-06-30	ABMD	ABIOMED INC	12.58	21836000.0	274696880.0
2004-09-30	ABMD	ABIOMED INC	8.85	21867000.0	193522950.0
2004-12-31	ABMD	ABIOMED INC	15.44	22037000.0	340251280.0
2005-03-31	ABMD	ABIOMED INC	10.58	22079000.0	233595820.0
2005-06-30	ABMD	ABIOMED INC	8.55	26201000.0	224018550.00000003
2005-09-30	ABMD	ABIOMED INC	10.07	26342000.0	265263940.0
2005-12-30	ABMD	ABIOMED INC	9.24	26373000.0	243686520.0
2006-03-31	ABMD	ABIOMED INC	12.9	26468000.0	341437200.0
2006-06-30	ABMD	ABIOMED INC	12.97	26555000.0	344418350.0
2006-09-29	ABMD	ABIOMED INC	14.78	26703000.0	394670340.0
2006-12-29	ABMD	ABIOMED INC	14.1	26764000.0	377372400.0
2007-03-30	ABMD	ABIOMED INC	13.66	32244000.0	440453040.0
2007-06-29	ABMD	ABIOMED INC	10.78	32441000.0	349713980.0
2007-09-28	ABMD	ABIOMED INC	12.43	32513000.0	404136590.0
2007-12-31	ABMD	ABIOMED INC	15.54	32606000.0	506697240.0
2008-03-31	ABMD	ABIOMED INC	13.14	32768000.0	430571520.0
2008-06-30	ABMD	ABIOMED INC	17.75	33682000.0	597855500.0
2008-09-30	ABMD	ABIOMED INC	17.75	36613000.0	649880750.0
2008-12-31	ABMD	ABIOMED INC	16.42	36687000.0	602400540.0000001
2009-03-31	ABMD	ABIOMED INC	4.9	36686000.0	179761400.0
2009-06-30	ABMD	ABIOMED INC	8.82	37352000.0	329444640.0
2009-09-30	ABMD	ABIOMED INC	9.71	37469000.0	363823990.00000006
2009-12-31	ABMD	ABIOMED INC	8.73	37490000.0	327287700.0
2010-03-31	ABMD	ABIOMED INC	10.32	37433000.0	386308560.0
2010-06-30	ABMD	ABIOMED INC	9.68	37793000.0	365836240.0
2010-09-30	ABMD	ABIOMED INC	10.61	37843000.0	401514230.0
2010-12-31	ABMD	ABIOMED INC	9.61	37853000.0	363767330.0
2011-03-31	ABMD	ABIOMED INC	14.53	37706000.0	547868180.0
2011-06-30	ABMD	ABIOMED INC	16.2	38510000.0	623862000.0
2011-09-30	ABMD	ABIOMED INC	11.03	38560000.0	425316800.0
2011-12-30	ABMD	ABIOMED INC	18.47	38973000.0	719831310.0
2012-03-30	ABMD	ABIOMED INC	22.19	39273000.0	871467870.0
2012-06-29	ABMD	ABIOMED INC	22.82	39497000.0	901321540.0
2012-09-28	ABMD	ABIOMED INC	20.99	39655000.0	832358449.9999999
2012-12-31	ABMD	ABIOMED INC	13.44	38880000.0	522547200.0
2013-03-28	ABMD	ABIOMED INC	18.67	38601000.0	720680670.0000001
2013-06-28	ABMD	ABIOMED INC	21.56	39012000.0	841098720.0
2013-09-30	ABMD	ABIOMED INC	19.06	39453000.0	751974180.0
2013-12-31	ABMD	ABIOMED INC	26.74	39766000.0	1063342839.9999999
2014-03-31	ABMD	ABIOMED INC	26.04	39916000.0	1039412640.0
2014-06-30	ABMD	ABIOMED INC	25.14	40365000.0	1014776100.0
2014-09-30	ABMD	ABIOMED INC	24.83	40577000.0	1007526909.9999999
2014-12-31	ABMD	ABIOMED INC	38.06	41079000.0	1563466740.0
2015-03-31	ABMD	ABIOMED INC	71.58	41336000.0	2958830880.0
2015-06-30	ABMD	ABIOMED INC	65.73	42019000.0	2761908870.0
2015-09-30	ABMD	ABIOMED INC	92.76	42417000.0	3934600920.0
2015-12-31	ABMD	ABIOMED INC	90.28	42437000.0	3831212360.0
2016-03-31	ABMD	ABIOMED INC	94.81	42596000.0	4038526760.0
2016-06-30	ABMD	ABIOMED INC	109.29	43008000.0	4700344320.0
2016-09-30	ABMD	ABIOMED INC	128.58	43334000.0	5571885720.000001
2016-12-30	ABMD	ABIOMED INC	112.68	43508000.0	4902481440.0
2017-03-31	ABMD	ABIOMED INC	125.2	43673000.0	5467859600.0
2017-06-30	ABMD	ABIOMED INC	143.3	44081000.0	6316807300.000001
2017-09-29	ABMD	ABIOMED INC	168.60001	44201000.0	7452289042.01
2017-12-29	ABMD	ABIOMED INC	187.41	44272000.0	8297015520.0
2018-03-29	ABMD	ABIOMED INC	290.98999	44375000.0	12912680806.249998
2018-06-29	ABMD	ABIOMED INC	409.04999	44876000.0	18356527351.239998
2018-09-28	ABMD	ABIOMED INC	449.75	45038000.0	20255840500.0
2018-12-31	ABMD	ABIOMED INC	325.04001	45058000.0	14645652770.58
2019-03-29	ABMD	ABIOMED INC	285.59	45123000.0	12886677569.999998
2019-06-28	ABMD	ABIOMED INC	260.48999	45374000.0	11819472806.259998
2019-09-30	ABMD	ABIOMED INC	177.89	45239000.0	8047565709.999999
2019-12-31	ABMD	ABIOMED INC	170.59	45113000.0	7695826670.0
2020-03-31	ABMD	ABIOMED INC	145.16	45009000.0	6533506440.0
2020-06-30	ABMD	ABIOMED INC	241.56	45045000.0	10881070200.0
2020-09-30	ABMD	ABIOMED INC	277.06	45190000.0	12520341400.0
2020-12-31	ABMD	ABIOMED INC	324.20001	45190000.0	14650598451.900002
2000-03-31	ABR	ATLANTIC PREMIUM BRANDS LTD	2.875	6812000.0	19584500.0
2000-06-30	ABR	ATLANTIC PREMIUM BRANDS LTD	-2.125	6752000.0	-14348000.0
2000-09-29	ABR	ATLANTIC PREMIUM BRANDS LTD	-1.625	6697000.0	-10882625.0
2000-12-29	ABR	ATLANTIC PREMIUM BRANDS LTD	0.875	6603000.0	5777625.0
2001-03-30	ABR	ATLANTIC PREMIUM BRANDS LTD	1.4	6603000.0	9244200.0
2001-06-29	ABR	ATLANTIC PREMIUM BRANDS LTD	1.49	6660000.0	9923400.0
2001-09-28	ABR	ATLANTIC PREMIUM BRANDS LTD	1.3	6684000.0	8689200.0
2001-12-31	ABR	ATLANTIC PREMIUM BRANDS LTD	-2.525	6684000.0	-16877100.0
2002-03-28	ABR	ATLANTIC PREMIUM BRANDS LTD	2.95	6684000.0	19717800.0
2002-06-28	ABR	ATLANTIC PREMIUM BRANDS LTD	2.6	6734000.0	17508400.0
2002-09-30	ABR	ATLANTIC PREMIUM BRANDS LTD	2.25	6734000.0	15151500.0
2002-12-31	ABR	ATLANTIC PREMIUM BRANDS LTD	2.27	6734000.0	15286180.0
2003-03-31	ABR	ATLANTIC PREMIUM BRANDS LTD	2.0	6734000.0	13468000.0
2003-06-30	ABR	ATLANTIC PREMIUM BRANDS LTD		6764000.0	11431160.0
2000-03-31	ABS	ALBERTSONS INC	30.875	423628000.0	13079514500.0
2000-06-30	ABS	ALBERTSONS INC	33.25	423190000.0	14071067500.0
2000-09-29	ABS	ALBERTSONS INC	21.0	421038000.0	8841798000.0
2000-12-29	ABS	ALBERTSONS INC	26.5	409295000.0	10846317500.0
2001-03-30	ABS	ALBERTSONS INC	31.82	409295000.0	13023766900.0
2001-06-29	ABS	ALBERTSONS INC	29.99	405345000.0	12156296550.0
2001-09-28	ABS	ALBERTSONS INC	31.88	406075000.0	12945671000.0
2001-12-31	ABS	ALBERTSONS INC	31.49	406308000.0	12794638920.0
2002-03-28	ABS	ALBERTSONS INC	33.14	406308000.0	13465047120.0
2002-06-28	ABS	ALBERTSONS INC	30.46	407041000.0	12398468860.0
2002-09-30	ABS	ALBERTSONS INC	24.16	398876000.0	9636844160.0
2002-12-31	ABS	ALBERTSONS INC	22.26	379151000.0	8439901260.000001
2003-03-31	ABS	ALBERTSONS INC	18.85	372000000.0	7012200000.000001
2003-06-30	ABS	ALBERTSONS INC	19.2	366800000.0	7042560000.0
2003-09-30	ABS	ALBERTSONS INC	20.57	366916000.0	7547462120.0
2003-12-31	ABS	ALBERTSONS INC	22.65	366920000.0	8310737999.999999
2004-03-31	ABS	ALBERTSONS INC	22.15	367800000.0	8146769999.999999
2004-06-30	ABS	ALBERTSONS INC	26.54	367800000.0	9761412000.0
2004-09-30	ABS	ALBERTSONS INC	23.93	368023000.0	8806790390.0
2004-12-31	ABS	ALBERTSONS INC	23.88	368057000.0	8789201160.0
2005-03-31	ABS	ALBERTSONS INC	20.65	368057000.0	7600377049.999999
2005-06-30	ABS	ALBERTSONS INC	20.68	368333000.0	7617126440.0
2005-09-30	ABS	ALBERTSONS INC	25.65	368403000.0	9449536950.0
2005-12-30	ABS	ALBERTSONS INC	21.35	368779000.0	7873431650.000001
2006-03-31	ABS	ALBERTSONS INC	25.67	370992000.0	9523364640.0
2006-06-30	ABS	ALBERTSONS INC		371629000.0	9637610020.0
2000-09-29	ABV	COMPANHIA DE BEBIDAS DAS AMERS	-14.8125	137000.0	-2029312.5
2000-12-29	ABV	COMPANHIA DE BEBIDAS DAS AMERS	-22.5	137000.0	-3082500.0
2001-03-30	ABV	COMPANHIA DE BEBIDAS DAS AMERS	22.26	137000.0	3049620.0
2001-06-29	ABV	COMPANHIA DE BEBIDAS DAS AMERS	20.0	91000.0	1820000.0
2001-09-28	ABV	COMPANHIA DE BEBIDAS DAS AMERS	13.5	96000.0	1296000.0
2001-12-31	ABV	COMPANHIA DE BEBIDAS DAS AMERS	-18.0	99000.0	-1782000.0
2002-03-28	ABV	COMPANHIA DE BEBIDAS DAS AMERS	-17.5	884000.0	-15470000.0
2002-06-28	ABV	COMPANHIA DE BEBIDAS DAS AMERS	-14.25	876000.0	-12483000.0
2002-09-30	ABV	COMPANHIA DE BEBIDAS DAS AMERS	-12.5	876000.0	-10950000.0
2002-12-31	ABV	COMPANHIA DE BEBIDAS DAS AMERS	13.0	880000.0	11440000.0
2003-03-31	ABV	COMPANHIA DE BEBIDAS DAS AMERS	-12.625	118000.0	-1489750.0
2003-06-30	ABV	COMPANHIA DE BEBIDAS DAS AMERS	-17.75	122000.0	-2165500.0
2003-09-30	ABV	COMPANHIA DE BEBIDAS DAS AMERS	-19.0	116000.0	-2204000.0
2003-12-31	ABV	COMPANHIA DE BEBIDAS DAS AMERS	-20.0	102000.0	-2040000.0
2004-03-31	ABV	COMPANHIA DE BEBIDAS DAS AMERS	32.5	101000.0	3282500.0
2004-06-30	ABV	COMPANHIA DE BEBIDAS DAS AMERS	38.67	380000.0	14694600.0
2004-09-30	ABV	COMPANHIA DE BEBIDAS DAS AMERS	-42.5	380000.0	-16150000.0
2004-12-31	ABV	COMPANHIA DE BEBIDAS DAS AMERS	-52.5	535000.0	-28087500.0
2005-03-31	ABV	COMPANHIA DE BEBIDAS DAS AMERS	42.0	839000.0	35238000.0
2005-06-30	ABV	COMPANHIA DE BEBIDAS DAS AMERS	25.46	1007000.0	25638220.0
2005-09-30	ABV	COMPANHIA DE BEBIDAS DAS AMERS	30.0	15140000.0	454200000.0
2005-12-30	ABV	COMPANHIA DE BEBIDAS DAS AMERS	32.7	13372000.0	437264400.00000006
2006-03-31	ABV	COMPANHIA DE BEBIDAS DAS AMERS	37.53	8735000.0	327824550.0
2006-06-30	ABV	COMPANHIA DE BEBIDAS DAS AMERS	36.6	7562000.0	276769200.0
